feature,importance
TEMP,0.12403487881081186
TEMP_lag_1,0.11963456198294865
TEMP_lag_2,0.08681521996157383
TEMP_lag_4,0.0803549411172895
EDA,0.07412675247897284
EDA_lag_1,0.0734192783729067
EDA_roll1min_std,0.06759658934437907
EDA_roll3min_std,0.053648432087054464
TEMP_lag_3,0.04618064456034526
TEMP_roll3min_mean,0.04304663697409591
EDA_lag_2,0.041221739487319685
TEMP_roll3min_std,0.03892761651261063
TEMP_roll1min_mean,0.03562891371808241
EDA_lag_3,0.028581736212803743
EDA_roll3min_mean,0.025970725886983095
EDA_roll1min_mean,0.02542757939771492
EDA_lag_4,0.021654086156975224
TEMP_roll1min_std,0.013729666937132288
